name,name_normalized,brand,barcode,kcal,protein,carbs,fat,fibres,sodium,source,sold_in_fr,popularity
Browny,browny,Be,6111259346239,348.0,3.84,44.0,17.26,1.3,112.0,off,False,3441
cooky original chocolate chips,cooky original chocolate chips,Be,6111259346345,397.0,3.2,50.0,20.3,2.03,60.9,off,False,3441
Cigogne,cigogne,لاسيگون,6111045006729,29.3,0,7.3,0,0,0,off,False,3440
HuilOr - RICHE EN Vitamine E Oméga 3 et 6,huilor - riche en vitamine e omega 3 et 6,,6111024001226,900.0,0,0,100.0,0,0,off,False,3440
Original Doux & crémeux,original doux & cremeux,,6111245342696,253.0,10.0,6.0,21.0,0,0,off,False,3440
6111259346710,6111259346710,Be,6111259346710,516.0,4.44,62.2,26.7,2.22,222.0,off,False,3438
Crunchy,crunchy,Be,6111259344211,534.0,4.7,48.6,35.7,0,100.0,off,False,3438
halta cucina,halta cucina,Halta,8004172000501,256.0,2.6,5.0,25.0,0,80.0,off,False,3438
magdor,magdor,Tartines &cuisson,6111037002647,532.0,0,0.2,0,0,240.0,off,False,3438
Lait demi écrémé UHT,lait demi ecreme uht,délice,6194043001668,43.5,3.0,4.5,1.5,0,0,off,False,3437
tuc original,tuc original,Mondelez International,7622202026980,480.0,8.2,69.0,19.0,2.1,720.0,off,False,3436
La delicieuse,la delicieuse,,6111250471565,262.0,0.4,64.0,0,1.6,15.0,off,False,3434
Lessieur 220g,lessieur 220g,Lesieur,3265472278006,653.0,0.7,1.8,71.4,0,620.0,off,False,3434
Sting,sting,PepsiCo,6111252422183,42.0,0,11.0,0,0,16.0,off,False,3434
Crunchy original,crunchy original,Be,6111259344181,530.0,6.73,51.95,32.87,1.2,52.0,off,False,3433
Genova - Double Creme,genova - double creme,Excelo,6111259341272,196.1,5.23,60.08,1.76,0,0,off,False,3433
Sauce andalouse star 290 g,sauce andalouse star 290 g,Star,6111184007625,388.9,0.8,12.37,37.36,0,1100.0,off,False,3433
Confiture d'abricot,confiture d'abricot,Délicia,6111162000730,272.0,0.41,67.36,0.12,0,0,off,False,3432
Pâte à tartiner noisettes,pate a tartiner noisettes,Revey Tchico,6111266751149,552.22,5.86,44.64,39.86,0,200.0,off,False,3432
Hohos,hohos,,6223000496022,424.0,4.3,65.0,16.0,1.1,168.0,off,False,3431
Lait U.H.T demi-écrémé,lait u.h.t demi-ecreme,Vitalait,6191507220214,43.0,3.0,4.4,1.5,0,60.0,off,False,3430
Marrakech orange 1l,marrakech orange 1l,SELECTION,6111242923577,50.0,0.7,11.0,0,1.2,3.05,off,False,3430
Thon a lhuile,thon a lhuile,TAM,3341430490380,145.0,29.6,0.2,2.8,0,132.0,off,False,3429
Aiguebelle,aiguebelle,Aiguebelle,6111017046548,535.0,5.2,47.0,36.0,0,4400.0,off,False,3428
Flocons d avoine,flocons d avoine,javana,6111180015501,378.0,13.5,59.4,7.6,9.1,8.0,off,False,3427
6111266962569,6111266962569,Jaouda,6111266962569,90.0,3.18,14.1,2.27,0,54.5,off,False,3426
Fluffy Milky,fluffy milky,best biscuits,6111259342729,431.0,6.17,49.5,23.13,0,44.0,off,False,3426
